sma_window,atr_window,atr_multiplier,cagr,max_dd,trades,win_rate
25,5,0.35,0.091,-0.46,71,0.507
10,7,0.1,0.091,-0.253,190,0.468
5,3,0.2,0.091,-0.357,265,0.517
35,7,0.05,0.09,-0.319,87,0.483
60,5,0.3,0.09,-0.349,43,0.535
40,10,0.2,0.09,-0.309,74,0.459
30,3,0.15,0.09,-0.459,97,0.454
25,14,0.35,0.09,-0.49,71,0.521
5,10,0.2,0.09,-0.353,261,0.533
10,7,0.05,0.09,-0.253,207,0.488
60,5,0.25,0.089,-0.349,47,0.532
25,7,0.5,0.089,-0.457,63,0.524
25,7,0.35,0.089,-0.46,73,0.521
25,3,0.05,0.089,-0.421,111,0.468
35,7,0.4,0.088,-0.364,54,0.537
35,10,0.45,0.088,-0.314,54,0.519
40,20,0.3,0.088,-0.327,66,0.455
60,5,0.05,0.088,-0.373,69,0.478
25,5,0.1,0.088,-0.438,103,0.456
75,3,0.25,0.087,-0.437,40,0.65
35,3,0.35,0.087,-0.335,60,0.45
40,20,0.25,0.087,-0.317,72,0.472
60,10,0.3,0.086,-0.349,45,0.533
30,5,0.1,0.086,-0.459,107,0.486
25,7,0.4,0.086,-0.463,71,0.521
10,5,0.1,0.084,-0.253,192,0.458
30,7,0.1,0.084,-0.479,107,0.486
30,5,0.2,0.084,-0.459,81,0.457
35,20,0.5,0.084,-0.322,52,0.538
60,5,0.35,0.084,-0.349,41,0.512
10,3,0.05,0.083,-0.235,209,0.493
30,7,0.05,0.083,-0.483,119,0.462
35,5,0.4,0.083,-0.357,56,0.5
40,14,0.25,0.082,-0.328,72,0.444
40,20,0.35,0.082,-0.335,62,0.484
30,10,0.2,0.082,-0.504,83,0.458
30,3,0.1,0.082,-0.461,107,0.467
75,3,0.05,0.081,-0.461,54,0.556
40,14,0.3,0.08,-0.35,66,0.455
5,20,0.15,0.08,-0.38,275,0.513
35,10,0.5,0.079,-0.314,52,0.519
30,10,0.05,0.079,-0.484,119,0.462
75,10,0.4,0.079,-0.445,34,0.618
60,5,0.4,0.078,-0.349,39,0.487
40,3,0.2,0.078,-0.319,74,0.486
40,14,0.35,0.078,-0.358,62,0.468
35,14,0.5,0.078,-0.322,52,0.519
40,10,0.25,0.077,-0.32,70,0.429
35,7,0.5,0.077,-0.328,50,0.52
25,5,0.05,0.077,-0.451,111,0.459
75,7,0.5,0.077,-0.426,32,0.625
75,3,0.45,0.077,-0.432,36,0.583
75,3,0.2,0.076,-0.457,42,0.643
40,7,0.2,0.076,-0.317,74,0.459
75,3,0.3,0.076,-0.437,38,0.632
25,5,0.4,0.076,-0.46,69,0.478
75,3,0.35,0.076,-0.437,36,0.611
75,3,0.4,0.075,-0.432,36,0.583
30,14,0.05,0.075,-0.459,119,0.462
25,5,0.45,0.074,-0.465,65,0.492
5,3,0.15,0.074,-0.357,278,0.522
35,3,0.45,0.074,-0.336,58,0.448
5,7,0.2,0.074,-0.35,259,0.529
30,14,0.1,0.073,-0.479,107,0.486
75,3,0.1,0.073,-0.461,50,0.6
35,7,0.45,0.073,-0.364,54,0.5
30,14,0.15,0.073,-0.476,91,0.473
75,10,0.25,0.072,-0.457,40,0.65
40,10,0.3,0.071,-0.342,68,0.441
30,10,0.1,0.071,-0.506,109,0.468
40,7,0.25,0.071,-0.328,72,0.431
5,5,0.2,0.071,-0.36,259,0.529
40,3,0.25,0.071,-0.319,70,0.486
75,10,0.5,0.07,-0.44,32,0.594
75,10,0.35,0.07,-0.445,36,0.611
35,3,0.4,0.07,-0.336,60,0.45
75,10,0.2,0.07,-0.457,42,0.643
75,10,0.45,0.07,-0.445,34,0.588
50,3,0.35,0.07,-0.35,53,0.453
40,3,0.5,0.069,-0.326,47,0.404
30,10,0.15,0.069,-0.504,89,0.461
30,3,0.25,0.069,-0.463,73,0.452
75,3,0.15,0.069,-0.461,50,0.58
75,10,0.3,0.068,-0.437,38,0.579
25,5,0.5,0.068,-0.465,65,0.508
50,3,0.4,0.068,-0.359,45,0.489
5,7,0.25,0.067,-0.366,244,0.533
10,3,0.1,0.066,-0.278,196,0.469
35,5,0.45,0.066,-0.357,56,0.464
50,3,0.3,0.065,-0.35,59,0.441
30,3,0.3,0.064,-0.478,71,0.451
40,20,0.4,0.063,-0.341,56,0.446
40,5,0.25,0.062,-0.329,74,0.459
50,14,0.4,0.061,-0.367,47,0.489
30,5,0.25,0.061,-0.463,77,0.429
50,14,0.3,0.061,-0.351,59,0.458
50,7,0.35,0.06,-0.356,53,0.453
35,5,0.5,0.059,-0.357,54,0.444
50,5,0.3,0.059,-0.343,55,0.436
50,20,0.4,0.059,-0.348,43,0.465
50,7,0.5,0.058,-0.373,43,0.465
50,3,0.45,0.058,-0.374,39,0.487
50,7,0.4,0.057,-0.356,51,0.451
50,7,0.45,0.057,-0.367,45,0.467
40,5,0.35,0.057,-0.337,60,0.45
40,5,0.3,0.057,-0.329,62,0.435
50,5,0.35,0.057,-0.35,55,0.436
50,14,0.2,0.056,-0.327,69,0.464
50,3,0.5,0.056,-0.374,39,0.487
50,20,0.35,0.054,-0.348,51,0.431
40,10,0.4,0.054,-0.351,54,0.481
50,20,0.3,0.053,-0.343,59,0.424
35,3,0.5,0.053,-0.328,52,0.423
5,14,0.15,0.053,-0.386,276,0.504
40,10,0.35,0.053,-0.351,58,0.466
50,10,0.35,0.053,-0.349,53,0.453
