bin_size_pct,max_drop_pct,initial_alloc_pct,exit_sma_window,cagr,total_return,max_drawdown,win_rate,n_trades,avg_trade_return
0.05,0.15,0.3,30,0.109,0.673,-0.296,1.0,14,0.089
0.05,0.1,0.3,30,0.109,0.673,-0.296,1.0,14,0.089
0.15,0.3,0.3,50,0.109,0.673,-0.216,1.0,4,0.471
0.05,0.3,0.5,60,0.109,0.673,-0.313,0.842,19,0.19
0.05,0.3,0.1,75,0.108,0.667,-0.296,0.842,19,0.166
0.15,0.3,0.4,60,0.108,0.669,-0.216,1.0,4,0.455
0.05,0.2,0.1,75,0.107,0.66,-0.296,0.824,17,0.15
0.05,0.1,0.4,75,0.107,0.664,-0.297,0.769,13,0.101
0.05,0.15,0.4,75,0.107,0.664,-0.297,0.769,13,0.101
0.07,0.3,0.2,75,0.106,0.657,-0.296,0.923,13,0.201
0.05,0.1,0.4,30,0.106,0.657,-0.296,1.0,14,0.089
0.05,0.15,0.4,30,0.106,0.657,-0.296,1.0,15,0.091
0.12,0.15,0.3,75,0.105,0.646,-0.296,1.0,3,0.184
0.12,0.2,0.2,75,0.105,0.646,-0.296,1.0,3,0.184
0.12,0.2,0.4,75,0.105,0.646,-0.296,1.0,3,0.184
0.12,0.15,0.1,75,0.105,0.646,-0.296,1.0,3,0.184
0.15,0.3,0.2,50,0.105,0.648,-0.216,1.0,4,0.471
0.15,0.3,0.3,60,0.105,0.649,-0.216,1.0,4,0.455
0.15,0.3,0.5,75,0.105,0.649,-0.216,1.0,4,0.436
0.07,0.1,0.3,30,0.105,0.649,-0.326,1.0,6,0.088
0.07,0.1,0.4,30,0.105,0.649,-0.326,1.0,6,0.088
0.07,0.1,0.1,30,0.105,0.649,-0.326,1.0,6,0.088
0.07,0.1,0.2,30,0.105,0.649,-0.326,1.0,6,0.088
0.12,0.2,0.3,75,0.105,0.646,-0.296,1.0,3,0.184
0.12,0.2,0.5,75,0.105,0.646,-0.296,1.0,3,0.184
0.12,0.15,0.4,75,0.105,0.646,-0.296,1.0,3,0.184
0.12,0.15,0.2,75,0.105,0.646,-0.296,1.0,3,0.184
0.07,0.1,0.5,30,0.105,0.649,-0.326,1.0,6,0.088
